Time_Human,Time_Unix_ms,CPU_Load_1m,CPU_Freq_MHz,Core_0_%,Core_1_%,Core_2_%,Core_3_%,Core_4_%,Core_5_%,Core_6_%,Core_7_%,Core_8_%,Core_9_%,Core_10_%,Core_11_%,RAM_Used_%,Swap_Used_%,Disk_Write_MBps,Temp_C,Throttled
15:51:51.029,1775681511029,1.82,683,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,71.8,46.6,0.0,68.0,N/A
15:51:51.529,1775681511529,1.82,828,4.1,0.0,5.9,0.0,0.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,71.8,46.6,0.281,48.0,N/A
15:51:52.029,1775681512029,1.67,548,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,71.7,46.6,0.0,48.0,N/A
15:51:52.529,1775681512529,1.67,1346,2.0,0.0,4.0,2.0,4.0,2.0,4.0,0.0,0.0,2.0,4.0,0.0,71.7,46.6,0.125,48.0,N/A
15:51:53.029,1775681513029,1.67,613,2.0,0.0,0.0,0.0,0.0,0.0,3.9,2.0,4.0,2.0,0.0,2.0,71.9,46.6,0.078,48.0,N/A
15:51:53.529,1775681513529,1.67,1109,2.0,0.0,4.1,0.0,0.0,6.0,0.0,0.0,2.0,3.9,2.0,0.0,72.0,46.6,0.0,48.0,N/A
15:51:54.029,1775681514029,1.67,723,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,72.0,46.6,0.219,48.0,N/A
15:51:54.529,1775681514529,1.67,912,2.0,0.0,4.0,0.0,2.0,6.0,0.0,0.0,2.1,0.0,2.0,2.0,72.0,46.6,0.0,48.0,N/A
15:51:55.029,1775681515029,1.67,608,3.9,2.0,0.0,2.0,3.9,0.0,2.0,2.0,2.0,0.0,3.9,4.0,72.1,46.6,0.0,48.0,N/A
15:51:55.530,1775681515530,1.67,750,4.1,0.0,4.1,0.0,2.0,4.0,5.9,0.0,2.0,3.9,2.0,0.0,72.0,46.7,0.578,48.0,N/A
15:51:56.030,1775681516030,1.67,522,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,72.0,46.7,0.016,48.0,N/A
15:51:56.530,1775681516530,1.67,1220,2.1,0.0,4.0,0.0,2.0,4.0,4.1,0.0,2.0,0.0,2.0,2.0,71.9,46.7,0.0,48.0,N/A
15:51:57.030,1775681517030,1.54,617,3.9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,71.9,46.7,0.172,48.0,N/A
15:51:57.530,1775681517530,1.54,788,4.1,0.0,7.8,0.0,2.0,4.0,2.0,0.0,2.0,2.0,3.9,2.0,71.9,46.7,0.078,48.0,N/A
15:51:58.030,1775681518030,1.54,780,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,71.9,46.7,0.0,48.0,N/A
15:51:58.530,1775681518530,1.54,857,4.1,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,3.9,71.9,46.7,0.0,48.0,N/A
15:51:59.030,1775681519030,1.54,1089,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,3.9,2.0,2.0,0.0,72.0,46.7,0.523,48.0,N/A
15:51:59.530,1775681519530,1.54,1117,4.1,0.0,0.0,2.0,2.0,4.0,8.0,0.0,0.0,0.0,4.0,0.0,71.9,46.7,1.062,48.0,N/A
15:52:00.030,1775681520030,1.54,783,0.0,0.0,3.9,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,72.0,46.7,0.383,48.0,N/A
15:52:00.531,1775681520531,1.54,896,6.0,0.0,0.0,0.0,0.0,4.0,9.8,0.0,2.0,4.1,0.0,0.0,72.0,46.7,0.0,48.0,N/A
15:52:01.031,1775681521031,1.54,804,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,72.0,46.7,0.0,48.0,N/A
15:52:01.531,1775681521531,1.54,1146,0.0,0.0,5.9,2.0,2.0,4.0,4.0,14.0,5.8,4.0,2.0,2.0,72.0,46.7,0.008,48.0,N/A
15:52:02.031,1775681522031,1.41,1493,2.0,0.0,0.0,0.0,2.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,71.9,46.7,0.234,48.0,N/A
15:52:02.531,1775681522531,1.41,1410,4.0,0.0,6.0,0.0,2.1,2.0,2.0,0.0,2.0,2.0,3.9,2.0,71.9,46.7,0.0,48.0,N/A
15:52:03.031,1775681523031,1.41,1481,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,72.0,46.7,0.195,48.0,N/A
15:52:03.531,1775681523531,1.41,1447,2.0,2.0,4.0,0.0,2.0,2.0,8.0,0.0,2.0,2.0,4.0,2.0,71.9,46.7,0.0,48.0,N/A
15:52:04.031,1775681524031,1.41,1069,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,71.9,46.7,0.445,48.0,N/A
15:52:04.532,1775681524532,1.41,1258,2.0,0.0,4.1,2.0,0.0,4.0,4.1,0.0,2.0,0.0,2.0,2.0,71.9,46.7,0.0,48.0,N/A
15:52:05.032,1775681525032,1.41,1018,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,72.0,46.7,3.148,48.0,N/A
15:52:05.532,1775681525532,1.41,1021,0.0,2.0,7.8,0.0,2.0,3.9,6.0,0.0,2.0,2.0,2.0,0.0,71.5,46.7,0.555,48.0,N/A
15:52:06.032,1775681526032,1.41,1075,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,71.5,46.7,0.0,48.0,N/A
15:52:06.532,1775681526532,1.41,980,2.0,0.0,2.0,0.0,0.0,2.0,6.1,2.0,2.0,2.0,4.0,2.0,71.6,46.7,0.0,48.0,N/A
15:52:07.032,1775681527032,1.3,725,0.0,0.0,2.0,0.0,3.9,2.0,0.0,0.0,0.0,2.0,0.0,2.0,71.7,46.7,0.172,48.0,N/A
15:52:07.532,1775681527532,1.3,1444,2.0,0.0,2.0,0.0,0.0,2.0,9.6,0.0,2.0,0.0,3.9,0.0,71.6,46.7,0.0,48.0,N/A
